Operation Name,Address,State,Milk,Fruit,Soy,Tapioca,lat,long
Air Hill Acres,8445 Nyesville Road,Pennsylvania,1,0,0,0,40.032481392455196,-77.61773813275157
Airport Warehouse at Charlotte LLC dba Cross Anchor Farm,200 Fuller Road,South Carolina,0,0,1,0,34.629168500000006,-81.8510648296492
"AJ Compagnola, LLC",301 Nolf Road,Pennsylvania,0,0,1,0,41.03305163131313,-79.20017933333334
AKC Commodities Inc.,"1086 STELTON RD, PISCATAWAY,",New Jersey,0,1,0,0,40.5656209,-74.4554745
Alan Rennells Farm,4884 County Farm Rd,Michigan,0,0,1,0,43.307942187500004,-82.62081
ALBA - Agriculture & Land-Based Training Association,1700 Old Stage Rd.,California,0,1,0,0,36.610464,-121.518115
Alba Ranch,2015 Raccoon Rd,Kansas,0,0,1,0,40.00006916219839,-95.41552628552425
Albert L Miller,7209 Walters Rd,Michigan,0,1,0,0,42.879036407863204,-84.33852215948198
"Albert Lea Seed House, Inc.",1414 W Main St,Minnesota,0,0,1,0,43.646651420183034,-93.38926981838074
Alberto's Farm Organic,8050 Lovers Lane,California,0,1,0,0,36.96244807376445,-121.43148566750567
Albert's Organics East,1155 Commerce Blvd,New Jersey,1,1,0,0,39.765127884649466,-75.37964208165559
Albert's Organics Twin Cities Division,1000 Eagle Ridge Drive,Wisconsin,1,1,0,0,44.9987399,-92.5439503
"Albert's Organics, Inc.",17901 E 40th Avenue,Colorado,1,1,0,0,39.7729011,-104.7898107
Albert's Organics-South,6284 McIntosh Road,Florida,1,1,0,0,26.067635888916655,-80.12365531547267
Albert's Organics-West,3268 E Vernon Avenue,California,1,1,0,0,34.00549013667922,-118.21405066256753
Albinger Farm,N1568 State Highway 57,Wisconsin,0,0,1,0,44.5576901,-87.8814014
Albireo Endeavors Dba Albireo Vineyards,31141 Rocky Oaks Road,California,0,1,0,0,40.458373187821586,-121.89200128846043
Alcantar Organic Farm,8250 Santa Rosa Rd,California,0,1,0,0,35.46118205,-120.6655957469837
Alchrist Farm,23086 820th Ave,Minnesota,0,0,1,0,44.7743956,-95.0008843
Alejandro Bulgheroni Estate,500 Meadowood Lane,California,0,1,0,0,38.3051978,-122.4854809
Alejandro Ramirez Organic Dba Alejandro Ramirez Farms,20027 Audrey Ln.,California,0,1,0,0,36.819048,-121.623089
Alemaya Farm,7261 County Road 49,California,0,1,0,0,34.631298,-117.2023706
Alexandra Dates,62610 Monroe St,California,0,1,0,0,34.0857685,-118.3135532
Alexandre Family Farm,8371 Lower Lake Rd.,California,1,0,0,0,34.1364629,-118.8720303
"Alfaverde, LLC",1405 2nd Avenue,Nebraska,0,0,1,0,40.67849857142857,-95.86288912244899
Alfrebro LLC,1055 Reed Road,Ohio,1,0,0,0,39.45459364462512,-84.3342615771838
Alfred State Farm,"Alfred State College, Rte 244",New York,1,0,0,0,42.25612555,-77.79791361746526
Alfredo R Andrade Farming,573 Avenue 388,California,0,1,0,0,36.496067,-119.55878261412904
Alger Vineyards,31630 Forward Rd.,California,0,1,0,0,40.43779025406989,-121.85527940984666
"All American Foods, Inc.",1501 2nd St SE,Minnesota,1,0,0,0,44.021488,-92.4436
"All Good Organics, Inc.",6657 Centerville Road,Minnesota,0,1,0,0,45.148186571428575,-93.05617142857142
"All Ingredients Plus, Inc.",48 Arbor Ln.,New York,1,1,1,0,40.7692095,-73.63147601438358
All Seasons,7649 Oboe Ave,Wisconsin,1,0,0,0,43.73621483140463,-90.83739103128211
All Seasons Farm LLC,4040 County Road 509,Colorado,0,1,0,0,37.20719281374487,-107.62149209652549
ALL STAR Jersey Farm,1758 North Chester Road,Michigan,1,0,0,0,42.59371589220158,-84.91493045660718
"All West Ag, LLC Dba All West Ag",1253 West American Avenue,California,0,1,0,0,36.66314039330743,-119.81332949274167
Allan Edgar,2650 Scott Road,Michigan,1,0,0,0,44.322906250758415,-83.40967327603397
Allan Gandelman,3320 NY 215,New York,0,1,0,0,42.56786659606873,-76.19309049783728
Allan Masselink,315 County Line Ave,Minnesota,0,0,1,0,43.89202542536186,-96.0643587748737
Allan Nazaroff Farm,350 North Floyd Avenue,California,0,1,0,0,36.740091813259674,-119.99696624140442
Allard Farms,5012 McCracken Road,California,0,1,0,0,37.57389522757433,-121.26901037601345
Allen A. Byler,8901 Thompson Road,New York,1,0,0,0,43.291133,-75.241577
Allen A. Miller,3312 Yoder Drive,Delaware,0,0,1,0,39.14449830964014,-75.60683403819473
Allen Berg Farm,10998 County Road 24,Minnesota,0,0,1,0,44.23235423577633,-94.39213408519547
Allen Distribution (Bldg. #1),670 Allen Rd,Pennsylvania,0,1,0,0,41.6307528,-80.3735815
Allen Farms,17113 Dogwood Avenue,Iowa,0,0,1,0,43.142698262309096,-93.43807314316231
Allen Farms Inc,19167 Skyview Rd,Minnesota,0,0,1,0,43.575758467127855,-91.38547297743555
"Allen Flavors,  Inc.",230 St. Nicholas Ave,New Jersey,1,1,0,0,40.907509142857144,-73.97817634693878
Allen Hershberger,1004 Goldman Lane,Wisconsin,1,0,0,0,42.91873651743447,-90.4877628679003
Allen Kauffman,1698 - 150th Street,Iowa,0,0,1,0,42.57116,-91.487648
Allen M. Zimmerman,360 Young Road,Pennsylvania,0,0,1,0,40.96865773255678,-80.1995630122456
Allen Miller,11861 Karnes Road,Ohio,1,0,0,0,39.24057272481959,-83.4590612173203
Allen Miller,243 County Road 29,New York,1,0,0,0,42.59070366642671,-75.46344275679584
Allen Troyer,3845 S-E 550 S,Indiana,1,0,0,0,40.97526492949133,-86.52611579636459
"Allied Avocados And Citrus, Inc.",348 A Street,California,0,1,0,0,33.602191499999996,-117.8983975
"Ally Organics, LLC",338 N. Delaware Avenue,New York,0,0,1,0,40.710207,-73.4726502
ALMAR ORCHARDS LLC,1431 Duffield Rd.,Michigan,0,1,0,0,43.02945940468228,-83.91100588963211
Alpine Echo Farm,9423 Steuben Valley Rd,New York,1,0,0,0,43.30549554551927,-75.26030928095503
Alpine Jay Farm,1536 Township Road 660,Ohio,1,0,0,0,40.63841398561429,-81.67451926808161
Alta Vista Farms LP,136 Marsh Lane,California,0,1,0,0,36.93692395462968,-121.72548844530327
Altdorf Dairy LLC,5052 Spruce Road,Wisconsin,1,0,0,0,44.4272971392468,-89.98386959663539
"Alter Eco Americas, PBC",1663 Mission St,California,1,0,0,0,37.7722684,-122.4190149
Alternative Roots Farm,11197 130th St,Minnesota,0,1,0,0,44.80512350843655,-94.21105842676096
Alton A. Miller/Friendship Organics,2479 520th St. SW,Iowa,0,1,0,0,41.55447744825188,-91.6747299637141
Alvin Coblentz,1120 TR 1133,Ohio,0,0,1,0,41.093048,-83.176476
Alvin D. Fisher,25 Quarry Road,Pennsylvania,1,0,0,0,40.28317225,-75.1297664
Alvin J Mast,15845 TR 190,Ohio,0,0,1,0,40.938063,-83.543844
Alvin Ray Beachy,2270 105th St,Iowa,0,0,1,0,41.496421,-94.158853
Alvin Schwartz,2111 Huth-Sayer Rd,New York,1,0,1,0,42.965957738643404,-75.51693585808869
Alvin Shetler,27498 County Road 37,Minnesota,0,0,1,0,43.94253455537707,-92.00424010611937
Alvin Swarey,6905 Yarnell Rd,New York,1,0,0,0,42.690975,-76.77227977005347
Alvin W. Weaver,3236 Gates Road,New York,1,0,0,0,42.8761695,-77.05279534444445
Amaltheia Dairy LLC,3380 Penwell Bridge Road,Montana,1,0,0,0,45.805371,-111.10437774596186
Amanda Mcdoniel Organics,1556 Hwy 11,Arkansas,0,0,1,0,34.0802432,-91.6999186
Amaral's Apples,1966 Green Valley Rd.,California,0,1,0,0,34.4458039,-117.2405309
"Amazing Coachella, Inc. Dba Peter Rabbit Farms",85810 Peter Rabbit Ln.,California,0,1,0,0,33.68130945,-116.17283242169812
Amazing Vitamins LLC,190 A Jony Dr.,New Jersey,0,1,0,0,40.82772130612245,-74.0676578367347
"Amazon Thunder, Inc.",701 South Carson St,Nevada,0,1,0,0,39.159869,-119.7669
Ambling Ambystoma Farm,500 Peaceful Valley Dr.,California,0,1,0,0,36.923765,-121.833029
Ambrosio Organic Farm,2734 Ferguson Road,California,0,1,0,0,37.017543,-121.520538
"Ambyth Estate, LLC",510 Sequoia Lane,California,0,1,0,0,35.5528021,-120.64292620941464
American Beverage Corporation,13512 Business Center Drive Northwest,Minnesota,0,1,0,0,45.305593061467285,-93.6216471483539
"American Botanicals, LLC",24750 Hwy. FF,Missouri,1,0,1,0,38.412789,-92.493573
"American Heritage Land Holdings, LLC",3002 West Windsor Road,Illinois,0,0,1,0,40.083432,-88.242047
American Natural Processors,1510 S. 2nd St,Iowa,0,0,1,0,41.82995612521481,-90.18826881870558
American Pasteurization Company - Comanufacturing,2880 N. 112th Street,Wisconsin,1,1,0,0,43.07227546396536,-88.05271272127365
"American River Ag, Inc.",510 Gilmore Ave.,California,0,0,1,0,33.9907869,-118.4257751
"American Soy Products, Inc.",1474 Woodland Dr,Michigan,1,0,1,0,42.262616388325114,-83.76061999212776
"American Vegetable Oils, Inc.",7244 Condor St.,California,0,0,1,0,35.40408426265456,-118.9187237934457
"Americold Logistics, LLC",17113 County Road 29,Minnesota,0,0,1,0,44.339422049999996,-94.51545345
Amerikoa Ingredients,2156 W. Belle Plaine Ave.,Illinois,0,0,0,1,41.956101399999994,-87.6834171705247
"AMI Newco, LLC DBA Aloha Medicinals",2300 Arrowhead Drive,Nevada,1,1,1,0,39.198542,-119.7452077862076
Ammon S. Fisher,413 Ebenezer Church Road,Maryland,1,0,0,0,39.6392780813497,-76.0100106592475
Ammon Zimmerman,1623 Breon Road,Pennsylvania,0,0,1,0,41.03323,-77.195175
Amos & Johnny Nisley,21336 Koppert Road,Ohio,1,0,0,0,40.534727,-82.352884
Amos A. King Farm,371 Kocher Road,Pennsylvania,1,0,1,0,40.2776078,-76.0493164
Amos Borntrager,3217 460th Street,Iowa,0,0,1,0,43.42973382629334,-93.91616972498953
Amos D Miller,14839 Township Road 206,Ohio,0,0,1,0,40.540606962074406,-83.59265278836799
Amos E. Stoltzfus,1724 Valley Road,Pennsylvania,1,0,0,0,40.7336229448373,-75.48894149558139
Amos J Stoltzfus,654 Mt. Vernon Rd,Pennsylvania,1,0,0,0,40.000875418434084,-75.98080054082995
Amos J. Stoltzfus,180 Indian Trail Road,New York,1,0,0,0,42.982401179795175,-78.76448440260522
Amos King,325 Beechdale Rd.,Pennsylvania,1,0,0,0,40.04159651113689,-76.18347698464162
Amos L. Beiler,314 A Lamparter Rd.,Pennsylvania,1,0,0,0,39.9129155,-76.0765158
Amos L. Fisher,2710 Far Hills Avenue,Ohio,1,0,0,0,39.706549,-84.170529
Amos L. Lee,2839 County Road 55,New York,1,0,0,0,44.88849537826084,-74.69725160643787
Amos L. Petersheim,3328 460Th Street,Iowa,0,0,1,0,42.9824253873988,-94.91961552947663
Amos M. Stoltzfus,2571 Main Street,Pennsylvania,1,0,0,0,40.6182836,-75.3828259
Amos N. Raber,64 Barcomb Rd,New York,1,0,0,0,44.847082799999995,-73.88075280000001
Amos S Esh,870 N College St,Pennsylvania,1,0,0,0,40.45282777521242,-79.92687595529858
Amos S. Byler,209 Brower Road,New York,1,0,0,0,43.091593,-74.2621376166983
Amos S. Esch,223 Masser Road,Pennsylvania,1,0,0,0,41.10689329560402,-76.94892099205516
"Amos S. Fisher, Jr.",1039 Fishing Creek Road,Pennsylvania,1,0,0,0,41.03329402598831,-77.48813333891171
Amos S. Gingerich,16035 T.R. 265,Ohio,0,0,1,0,40.9202816,-83.9153991
Amos S. Lantz,7872 N. Sugar Grove Rd.,Indiana,1,0,0,0,39.94321292956373,-85.07215140596492
Amos Smoker,273 Ants Hill Rd,Pennsylvania,1,0,0,0,41.0988681469999,-76.62510547491016
"Amos Zittel & Sons, Inc.",3208 Bley Road,New York,0,1,0,0,42.6808055,-78.87336525
Ampelos Cellars,7253 Santos Road,California,0,1,0,0,34.618427399045785,-120.28293349808636
Amridge Organics,14983 County Rd 558,Missouri,1,0,1,0,36.562162,-89.929908
Amy's Garden,13630 Sandy Point Rd,Virginia,0,1,0,0,37.300757084827964,-76.96584053976659
Amy's Kitchen,441 West Antelope Road,Oregon,0,0,1,0,42.42814073019122,-122.90014874573441
"Amy's Kitchen, Inc.",2330 Northpoint Pkwy.,California,0,1,0,0,38.41572439995741,-122.75489388958684
Anchor Run CSA,2578 Second St Pike,Pennsylvania,0,1,0,0,40.28088,-74.993714
Ancient Lake Gardens,8993 Soda Bay Road,California,0,1,0,0,38.948678,-122.733808
Anderson Farm,73586 CSAH 21,Minnesota,0,0,1,0,47.155357,-95.826109
ANDERSON ORGANIC ACRES Dba Mark Anderson,18690 US 67,Illinois,0,0,1,0,39.7489208,-90.2956637
Anderson Organics,5404 Paulson Road,Illinois,0,1,0,0,42.33948540427645,-88.95020113810295
Anderson Vineyards Dba Roederer Estate,9201 Highway 128,California,0,1,0,0,36.676059,-121.656874
Andes Harvest Inc Dba Sweet Heart Group Ltd,"17568 Rowland Street, City of Industry",California,1,1,0,0,34.00169487724445,-117.92086309517653
ANDLOR INC. - Andy & Lori Faeh Toby Schweitzer,1608 E 26th Rd,Nebraska,0,0,1,0,41.060838836734696,-97.981775
Andresen Farm,5751 140th St,Iowa,0,0,1,0,43.44489037330192,-95.10639665841697
Andrew & Emily Mchargue,1313 12th Road,Nebraska,0,0,1,0,41.049930550887595,-98.0771509359595
Andrew Barsness,13246 100th St,Minnesota,0,0,1,0,44.76045199219085,-94.26218460388179
Andrew Coblentz,4991 TR 419,Ohio,1,0,0,0,40.973013,-81.414226
Andrew Derstine Farm,6542 Cream City Rd.,Wisconsin,1,0,0,0,44.91039185311556,-87.95777041610478
Andrew Groppetti Farms,18549 West Floral Avenue,California,0,1,0,0,36.57446554170032,-120.12963997520065
Andrew Kauffman,1701 150th Street,Iowa,0,0,1,0,42.571569,-91.469899
Andrew M. Zook,351 Scenery Drive,Pennsylvania,1,0,0,0,40.27853671491039,-79.83683633732161
Andrew Mast,33426 Old Fort Road,Minnesota,0,0,1,0,43.86519018175256,-92.03882910313371
Andrew N Yoder,8451 West Broomfield Rd,Michigan,0,1,0,0,43.58158789795919,-85.01431871428572
Andrew Nees,2110 210th Street,Iowa,0,0,1,0,42.48443297845461,-91.37211832690166
Andrew R Yoder,2293 Johnson Washington Rd,Iowa,0,0,1,0,41.51107508477765,-91.70237498629606
Andrew Snarski,365 Wyman School Road,Illinois,0,0,1,0,42.39924886297265,-88.9323148315436
Andrew Stoll,342 Wells Road,New York,1,0,0,0,42.835428638638994,-74.17593399803245
Andrew Yoder,2271 TR 406,Ohio,1,0,0,0,38.4536412,-82.5055486
Andrews Farm,183 West Hill Rd.,Maine,0,1,0,0,44.22173227208418,-69.79246017601758
Andrews Farms Inc,12878 Road 209,Ohio,0,0,1,0,41.13129,-83.892423
"Andris Family Farm, LLC",2643 East Township Road 324,Illinois,0,0,1,0,39.694788,-90.780738
Andy A. Mast,96 Lantry Road,New York,1,0,0,0,44.9196055,-74.59678902684294
Andy A. Mast,190 E. Mahoney Road,New York,1,0,0,0,44.91196524657048,-74.65686677308659
Andy Anderson,7 Park View Drive,Illinois,0,0,1,0,41.5821307,-87.5664479
Andy D. Mast,242 Hickory Hill Road,New York,1,0,1,0,42.94445816816348,-74.59231573472782
